Date,Open,High,Low,Close,Adj Close,Volume
2018-01-14,6070.100098,6103.600098,6070.100098,6077.100098,6077.100098,0
2018-01-15,6077.100098,6077.799805,6042.000000,6048.600098,6048.600098,0
2018-01-16,6048.600098,6048.600098,6012.899902,6015.799805,6015.799805,0
2018-01-17,6015.799805,6035.600098,6014.600098,6014.600098,6014.600098,0
2018-01-18,6014.600098,6028.700195,6002.200195,6005.799805,6005.799805,0
2018-01-21,6005.799805,6017.799805,5991.899902,5991.899902,5991.899902,0
2018-01-22,5991.899902,6041.000000,5991.899902,6037.000000,6037.000000,0
2018-01-23,6037.000000,6066.299805,6036.200195,6054.700195,6054.700195,0
2018-01-24,6054.700195,6056.000000,6029.100098,6050.000000,6050.000000,0
2018-01-28,6050.000000,6090.200195,6050.000000,6075.399902,6075.399902,0
2018-01-29,6075.399902,6075.399902,6016.500000,6022.799805,6022.799805,0
2018-01-30,6022.799805,6043.700195,5993.600098,6037.700195,6037.700195,0
2018-01-31,6037.700195,6093.600098,6037.700195,6090.100098,6090.100098,0
2018-02-01,6090.100098,6121.399902,6077.799805,6121.399902,6121.399902,0
2018-02-04,6121.399902,6121.399902,6013.200195,6026.200195,6026.200195,0
2018-02-05,6026.200195,6026.200195,5795.899902,5833.299805,5833.299805,0
2018-02-06,5833.299805,5938.600098,5833.299805,5876.799805,5876.799805,0
2018-02-07,5876.799805,5893.600098,5838.100098,5890.700195,5890.700195,0
2018-02-08,5890.700195,5890.700195,5786.799805,5838.000000,5838.000000,0
2018-02-11,5838.000000,5840.500000,5791.299805,5820.700195,5820.700195,0
2018-02-12,5820.700195,5860.200195,5814.899902,5855.899902,5855.899902,0
2018-02-13,5855.899902,5868.100098,5830.799805,5841.200195,5841.200195,0
2018-02-14,5841.200195,5913.100098,5841.200195,5909.000000,5909.000000,0
2018-02-15,5909.000000,5938.100098,5902.299805,5904.000000,5904.000000,0
2018-02-18,5904.399902,5949.600098,5890.200195,5941.600098,5941.600098,7891300
2018-02-19,5941.600098,5942.299805,5912.700195,5940.899902,5940.899902,0
2018-02-20,5940.899902,5955.200195,5920.200195,5943.700195,5943.700195,0
2018-02-21,5943.700195,5973.100098,5928.299805,5950.899902,5950.899902,0
2018-02-22,5950.899902,6003.399902,5950.899902,5999.799805,5999.799805,0
2018-02-25,5999.799805,6042.200195,5999.799805,6042.200195,6042.200195,0
2018-02-26,6042.200195,6083.000000,6042.200195,6056.899902,6056.899902,0
2018-02-27,6056.899902,6056.899902,6012.600098,6016.000000,6016.000000,0
2018-02-28,6016.000000,6016.000000,5957.500000,5973.299805,5973.299805,0
2018-03-01,5973.299805,5973.299805,5902.200195,5928.899902,5928.899902,0
2018-03-04,5895.000000,5960.200195,5895.000000,5959.500000,5959.500000,34463900
2018-03-05,5895.000000,5979.500000,5895.000000,5962.399902,5962.399902,0
2018-03-06,5962.399902,5962.399902,5895.299805,5902.000000,5902.000000,0
2018-03-07,5902.000000,5942.899902,5895.600098,5942.899902,5942.899902,0
2018-03-08,5942.899902,5978.399902,5942.100098,5963.200195,5963.200195,0
2018-03-11,5971.299805,6026.100098,5971.299805,5996.100098,5996.100098,0
2018-03-12,5996.100098,5996.100098,5949.600098,5974.700195,5974.700195,0
2018-03-13,5974.700195,5974.700195,5922.799805,5935.299805,5935.299805,0
2018-03-14,5935.299805,5935.299805,5906.100098,5920.799805,5920.799805,0
2018-03-15,5920.899902,5952.700195,5920.899902,5949.399902,5949.399902,0
2018-03-18,5949.399902,5982.500000,5933.500000,5959.399902,5959.399902,0
2018-03-19,5959.399902,5959.399902,5915.600098,5936.399902,5936.399902,0
2018-03-20,5936.399902,5963.000000,5934.700195,5950.299805,5950.299805,0
2018-03-21,5950.299805,5958.299805,5909.100098,5937.200195,5937.200195,0
2018-03-22,5937.200195,5937.200195,5808.100098,5820.700195,5820.700195,0
2018-03-25,5820.700195,5820.700195,5773.299805,5790.500000,5790.500000,0
2018-03-26,5790.500000,5837.500000,5790.500000,5832.299805,5832.299805,0
2018-03-27,5832.299805,5832.299805,5781.600098,5789.500000,5789.500000,0
2018-03-28,5789.500000,5804.299805,5752.700195,5759.399902,5759.399902,0
2018-04-03,5759.399902,5766.000000,5724.799805,5751.899902,5751.899902,0
2018-04-04,5751.899902,5764.299805,5728.799805,5761.399902,5761.399902,0
2018-04-05,5761.399902,5806.000000,5761.399902,5788.799805,5788.799805,0
2018-04-06,5788.799805,5799.200195,5761.899902,5788.700195,5788.700195,0
2018-04-09,5788.700195,5816.600098,5771.100098,5808.700195,5808.700195,0
2018-04-10,5808.700195,5857.799805,5785.700195,5857.000000,5857.000000,0
2018-04-11,5857.000000,5864.000000,5825.299805,5828.700195,5828.700195,0
2018-04-12,5828.700195,5837.899902,5801.500000,5815.500000,5815.500000,0
2018-04-13,5815.500000,5844.700195,5815.500000,5829.100098,5829.100098,0
2018-04-16,5829.100098,5867.600098,5829.100098,5841.299805,5841.299805,0
2018-04-17,5841.299805,5871.100098,5841.299805,5841.500000,5841.500000,0
2018-04-18,5841.500000,5864.799805,5841.500000,5861.399902,5861.399902,0
2018-04-19,5861.399902,5902.899902,5861.399902,5881.000000,5881.000000,0
2018-04-20,5881.000000,5887.000000,5862.700195,5868.799805,5868.799805,0
2018-04-23,5868.799805,5894.700195,5868.799805,5886.000000,5886.000000,0
2018-04-24,5886.000000,5928.799805,5879.600098,5921.600098,5921.600098,0
2018-04-26,5921.600098,5938.799805,5903.100098,5910.799805,5910.799805,0
2018-04-27,5910.799805,5953.600098,5910.799805,5953.600098,5953.600098,0
2018-04-30,5953.600098,5991.100098,5945.600098,5982.700195,5982.700195,0
2018-05-01,5982.700195,6022.100098,5978.500000,6015.200195,6015.200195,0
2018-05-02,6015.200195,6053.600098,6009.500000,6050.200195,6050.200195,0
2018-05-03,6050.200195,6109.700195,6050.200195,6098.299805,6098.299805,0
2018-05-04,6098.299805,6109.700195,6061.299805,6062.899902,6062.899902,0
2018-05-07,6063.200195,6110.200195,6063.200195,6084.500000,6084.500000,0
2018-05-08,6084.500000,6111.200195,6084.500000,6091.899902,6091.899902,0
2018-05-09,6091.899902,6111.500000,6083.299805,6108.000000,6108.000000,0
2018-05-10,6108.000000,6145.200195,6108.000000,6118.700195,6118.700195,0
2018-05-11,6118.700195,6140.899902,6116.200195,6116.200195,6116.200195,0
2018-05-14,6116.200195,6135.500000,6109.299805,6135.299805,6135.299805,0
2018-05-15,6135.299805,6146.799805,6097.799805,6097.799805,6097.799805,0
2018-05-16,6097.799805,6129.700195,6094.500000,6107.000000,6107.000000,0
2018-05-17,6107.000000,6120.200195,6077.600098,6094.299805,6094.299805,0
2018-05-18,6094.299805,6110.600098,6079.500000,6087.399902,6087.399902,0
2018-05-21,6087.399902,6094.899902,6070.299805,6084.500000,6084.500000,0
2018-05-22,6084.500000,6084.500000,6028.500000,6041.899902,6041.899902,0
2018-05-23,6041.899902,6056.600098,6026.100098,6032.500000,6032.500000,0
2018-05-24,6032.500000,6039.299805,6011.899902,6037.100098,6037.100098,0
2018-05-25,6037.100098,6038.899902,6016.600098,6032.799805,6032.799805,0
2018-05-28,6032.799805,6032.799805,5993.799805,6004.000000,6004.000000,0
2018-05-29,6004.000000,6025.200195,5995.600098,6013.600098,6013.600098,0
2018-05-30,6013.600098,6013.600098,5964.100098,5984.700195,5984.700195,0
2018-05-31,5984.700195,6024.399902,5984.700195,6011.899902,6011.899902,0
2018-06-01,6011.899902,6011.899902,5972.000000,5990.399902,5990.399902,0
2018-06-04,5990.399902,6038.500000,5990.399902,6025.500000,6025.500000,0
2018-06-05,6025.500000,6025.500000,5982.200195,5994.899902,5994.899902,0
2018-06-06,5994.899902,6026.100098,5994.899902,6025.100098,6025.100098,0
2018-06-07,6025.100098,6070.700195,6025.100098,6057.299805,6057.299805,0
2018-06-08,6057.299805,6060.799805,6041.399902,6045.200195,6045.200195,0
2018-06-12,6045.200195,6063.899902,6040.799805,6054.399902,6054.399902,0
2018-06-13,6054.399902,6054.399902,6010.700195,6023.500000,6023.500000,0
2018-06-14,6023.500000,6033.700195,6007.500000,6016.600098,6016.600098,0
2018-06-15,6016.600098,6100.100098,6016.600098,6094.000000,6094.000000,0
2018-06-18,6094.000000,6114.899902,6085.200195,6104.100098,6104.100098,0
2018-06-19,6104.100098,6147.600098,6102.100098,6102.100098,6102.100098,0
2018-06-20,6102.100098,6172.600098,6102.100098,6172.600098,6172.600098,0
2018-06-21,6172.600098,6249.299805,6172.600098,6232.100098,6232.100098,0
2018-06-22,6232.100098,6243.399902,6217.000000,6225.200195,6225.200195,0
2018-06-25,6225.700195,6250.799805,6204.299805,6210.399902,6210.399902,0
2018-06-26,6210.399902,6210.399902,6161.100098,6197.600098,6197.600098,0
2018-06-27,6197.600098,6216.299805,6189.399902,6195.899902,6195.899902,0
2018-06-28,6195.899902,6218.899902,6178.399902,6215.399902,6215.399902,0
