Date,Open,High,Low,Close,Adj Close,Volume
2018-01-14,31.228201,31.395500,31.171301,31.206900,29.177305,1575272
2018-01-15,31.171301,31.302900,31.064501,31.085899,29.064175,1836977
2018-01-16,30.993299,31.224600,30.936399,31.007601,28.990969,2396537
2018-01-17,31.114300,31.114300,30.872400,30.979099,28.964321,2362014
2018-01-18,31.014700,31.292299,31.014700,31.114300,29.090729,2156612
2018-01-21,31.149900,31.441700,31.121500,31.149900,29.124014,2140142
2018-01-22,31.171301,31.356300,31.157000,31.214001,29.183945,1362764
2018-01-23,31.313601,31.384800,31.064501,31.114300,29.090729,2310621
2018-01-24,30.957800,31.274500,30.879499,31.185499,29.157297,3279805
2018-01-28,31.185499,31.534201,31.142799,31.363400,29.323627,2043100
2018-01-29,31.206900,31.384800,31.036100,31.199699,29.170574,2285043
2018-01-30,31.085899,31.256701,30.922199,31.178400,29.150661,3263727
2018-01-31,31.263800,31.484400,31.075199,31.413200,29.370190,2694648
2018-02-01,31.342100,31.512899,31.199699,31.420401,29.376923,1347591
2018-02-04,29.854700,30.395500,29.783501,30.004101,28.052734,6805749
2018-02-05,28.822800,29.278200,28.822800,29.178600,27.280920,7297638
2018-02-06,29.392099,29.420601,28.965099,29.221300,27.320843,4638075
2018-02-07,29.050501,29.406300,29.036200,29.192801,27.294197,2861152
2018-02-08,28.922400,29.107401,28.673300,29.014900,27.127867,3192333
2018-02-11,28.893900,29.007799,28.687500,28.900999,27.021374,1945595
2018-02-12,28.893900,28.943701,28.780100,28.922400,27.041382,2355820
2018-02-13,28.837000,29.071800,28.808500,28.851200,26.974813,2780414
2018-02-14,28.765800,29.164400,28.751600,29.071800,27.181067,2041428
2018-02-15,29.164400,29.242599,28.872601,28.943701,27.061298,1724388
2018-02-18,28.965099,29.121700,28.936600,29.000700,27.114590,2523962
2018-02-19,28.829901,29.064699,28.680401,29.007799,27.121227,2484467
2018-02-20,29.605600,30.352800,29.320900,29.883101,27.939604,8041036
2018-02-21,29.875999,30.239000,29.705200,29.804899,27.866488,4678773
2018-02-22,30.139400,30.317301,29.911600,30.267500,28.299002,4018228
2018-02-25,29.498800,29.534401,29.285299,29.427700,28.483097,6641640
2018-02-26,29.285299,29.527300,29.050501,29.107401,28.173079,4833860
2018-02-27,29.192801,29.577101,29.178600,29.413401,28.469255,3952215
2018-02-28,29.434799,29.584200,29.320900,29.570000,28.620829,3099699
2018-03-01,29.349400,29.392099,29.079000,29.242599,28.303938,2156659
2018-03-04,29.192801,29.249800,29.057600,29.164400,28.228249,1455916
2018-03-05,29.463301,29.570000,29.285299,29.392099,28.448639,2727923
2018-03-06,29.207100,29.299601,28.854799,28.950800,28.021505,3251203
2018-03-07,28.929501,29.178600,28.929501,29.036200,28.104162,2632606
2018-03-08,29.021999,29.228399,28.979300,29.121700,28.186918,2127142
2018-03-11,29.249800,29.306700,29.014900,29.014900,28.083548,2259200
2018-03-12,29.000700,29.185699,28.972200,29.157200,28.221279,1985449
2018-03-13,29.171499,29.199900,29.021999,29.093201,28.159334,1957454
2018-03-14,28.893900,29.452600,28.893900,29.320900,28.379725,4975546
2018-03-15,30.787001,31.484400,30.594801,31.171301,30.170729,14513558
2018-03-18,31.135700,31.135700,30.527201,31.000500,30.005411,3509551
2018-03-19,31.000500,31.036100,30.651800,30.886600,29.895168,2708195
2018-03-20,31.185499,31.185499,30.488100,30.637501,29.654064,3058130
2018-03-21,30.374201,30.424000,30.157101,30.281700,29.309685,4036518
2018-03-22,29.890301,30.068199,29.541500,29.754999,28.799891,3238676
2018-03-25,29.612700,29.776400,29.541500,29.605600,28.655287,2113935
2018-03-26,29.612700,29.812000,29.601999,29.676800,28.724201,3177761
2018-03-27,29.534401,29.833300,29.520201,29.747900,28.793018,2293142
2018-03-28,29.904499,29.933001,29.502399,29.577101,28.627701,3273705
2018-04-03,29.534401,29.666100,29.363600,29.498800,28.551914,2100812
2018-04-04,29.427700,29.559299,29.249800,29.470400,28.524426,2397371
2018-04-05,29.399200,29.847601,29.399200,29.712299,28.758560,2010585
2018-04-06,29.555799,29.744400,29.392099,29.605600,28.655287,1720737
2018-04-09,29.634100,29.918699,29.612700,29.840401,28.882549,1575555
2018-04-10,29.740801,29.997000,29.740801,29.883101,28.923880,2485093
2018-04-11,29.733700,29.762199,29.320900,29.420601,28.476225,2896405
2018-04-12,29.178600,29.427700,29.107401,29.264000,28.324652,2534233
2018-04-13,29.199900,29.392099,29.178600,29.207100,28.269577,2049578
2018-04-16,29.214199,29.448999,29.135900,29.228399,28.290194,1647990
2018-04-17,29.470400,29.719500,29.285299,29.285299,28.345266,1860883
2018-04-18,29.413401,29.591400,29.342300,29.484600,28.538170,1787026
2018-04-19,29.570000,29.648300,29.356501,29.406300,28.462383,2427916
2018-04-20,29.413401,29.655399,29.335199,29.534401,28.586372,2017538
2018-04-23,29.534401,29.933001,29.527300,29.897400,28.937719,2238911
2018-04-24,30.174900,30.552099,29.997000,30.502300,29.523203,3646289
2018-04-26,30.566401,30.701599,30.025499,30.694500,29.709234,5158178
2018-04-27,30.915100,31.100100,30.687300,30.879499,29.888294,4000495
2018-04-30,30.957800,31.285101,30.822500,31.149900,30.150015,3097537
2018-05-01,31.299400,31.306499,30.961300,31.007601,30.012283,2221234
2018-05-02,31.164200,31.313601,31.028900,31.050301,30.053614,3261493
2018-05-03,31.313601,31.420401,31.093000,31.185499,30.184471,2935604
2018-05-04,31.263800,31.434601,31.100100,31.157000,30.156887,1721278
2018-05-07,31.306499,31.384800,31.093000,31.270901,30.267132,1782459
2018-05-08,31.441700,31.448799,31.256701,31.342100,30.336046,2216285
2018-05-09,31.477301,31.491501,31.167700,31.399000,30.391119,3059652
2018-05-10,31.505800,31.512899,31.114300,31.185499,30.184471,2061308
2018-05-11,31.199699,31.491501,31.199699,31.334999,30.329172,1602395
2018-05-14,31.349199,31.626699,31.185499,31.569799,30.556437,1954482
2018-05-15,31.562700,31.776199,31.498600,31.534201,30.521980,2101849
2018-05-16,31.591200,31.818899,31.541300,31.705000,30.687298,2206919
2018-05-17,31.918501,31.918501,31.712099,31.840200,30.818157,2530052
2018-05-18,31.954100,32.338402,31.911400,32.025299,30.997314,1992800
2018-05-21,31.968300,32.217400,31.918501,32.060902,31.031775,2566691
2018-05-22,31.818899,31.904301,31.697901,31.783300,30.763084,1707175
2018-05-23,31.754801,31.875799,31.683701,31.854500,30.831999,2171730
2018-05-24,31.761999,32.132000,31.761999,32.103600,31.073103,2687447
2018-05-25,32.025299,32.487900,31.911400,32.395401,31.355537,4444170
2018-05-28,32.345501,32.452301,31.975500,32.117802,31.086847,3248027
2018-05-29,32.117802,32.480801,32.075100,32.452301,31.410610,2688459
2018-05-30,32.238800,32.608799,32.174702,32.430901,31.389896,2596231
2018-05-31,32.793900,32.793900,32.416698,32.423801,31.383026,3743096
2018-06-01,32.352600,32.494999,32.075100,32.124901,31.093719,1755994
2018-06-04,32.381100,32.484299,32.132000,32.345501,31.307238,1670518
2018-06-05,32.345501,32.509201,32.153400,32.217400,31.183249,2147866
2018-06-06,32.224499,32.551899,32.153400,32.502102,31.458813,3111987
2018-06-07,32.566200,33.363201,32.537701,33.078499,32.016708,3563025
2018-06-08,32.736900,33.135502,32.594601,32.993099,31.934050,2478711
2018-06-12,33.313400,33.548302,33.178200,33.420200,32.347443,3908467
2018-06-13,33.334801,33.569599,33.042999,33.206699,32.140793,2780192
2018-06-14,33.448601,33.591000,33.242199,33.448601,32.374931,3183522
2018-06-15,33.868500,34.316898,33.818699,34.167400,33.070656,7003764
2018-06-18,34.430698,34.430698,33.968201,34.074902,32.981129,2310549
2018-06-19,34.231499,34.231499,33.612301,33.654999,32.574703,3252715
2018-06-20,34.096199,34.124699,33.676399,33.825802,32.740025,2826654
2018-06-21,34.679798,34.772301,34.153198,34.715401,33.601067,8049385
2018-06-22,34.715401,35.142399,34.558800,35.014301,33.890373,3406208
2018-06-25,35.014301,35.227798,34.686901,34.779400,33.663010,2347527
2018-06-26,34.807899,35.355900,34.622898,35.284698,34.152092,3472882
2018-06-27,35.220699,35.484001,35.014301,35.185101,34.055691,3712914
2018-06-28,35.014301,35.348801,34.964500,35.121101,33.993744,6716302
2018-06-29,35.163799,35.355900,35.106800,35.128201,34.000614,8080731
2018-07-02,35.007198,35.064098,34.772301,34.829300,33.711311,2620274
2018-07-03,34.985802,35.583599,34.943100,35.334599,34.200390,2947387
2018-07-04,35.227798,35.348801,34.957401,35.042801,33.917957,2544635
2018-07-05,35.121101,35.480400,35.007198,35.299000,34.165932,2366228
2018-07-06,35.548100,35.918098,35.348801,35.847000,34.696342,3352220
2018-07-09,35.597900,35.782902,35.505402,35.583599,34.441395,1769420
2018-07-10,35.548100,35.569401,35.064098,35.128201,34.000614,3447236
2018-07-11,35.021400,35.163799,34.750999,34.786598,33.669979,2979626
2018-07-12,35.263401,35.391499,35.142399,35.220699,34.090145,3124801
2018-07-13,35.213600,35.220699,34.907600,35.049900,33.924828,1902051
2018-07-16,35.085499,35.370098,35.078400,35.334599,34.200390,1647153
2018-07-17,35.377300,35.676201,35.092602,35.256302,34.124607,1961415
2018-07-18,35.341702,35.797100,35.341702,35.412800,34.276081,1859616
2018-07-19,35.455502,35.668999,35.405701,35.412800,34.276081,2329561
2018-07-20,35.412800,35.676201,35.313202,35.583599,34.441395,2122314
2018-07-23,35.306099,35.498199,35.064098,35.121101,33.993744,1813267
2018-07-24,35.085499,35.341702,34.978699,35.220699,34.090145,2239799
2018-07-25,35.170898,35.192200,34.608700,34.850601,33.731926,2961340
2018-07-26,34.622898,35.249199,34.622898,35.192200,34.062561,4152918
2018-07-27,34.836399,35.370098,34.786598,35.064098,33.938572,5726028
2018-07-30,34.907600,35.434200,34.907600,35.249199,34.117729,1992666
2018-07-31,35.227798,35.377300,34.993000,35.199299,34.069431,2433951
2018-08-01,35.199299,35.469799,35.046299,35.327400,34.193420,2842217
2018-08-02,35.555199,35.718899,35.327400,35.384399,34.248592,2933951
2018-08-03,35.583599,35.640598,35.366600,35.469799,34.331249,2316091
2018-08-06,35.512501,35.619202,35.412800,35.540901,34.400070,1406167
2018-08-07,35.583599,36.323799,35.533798,35.583599,34.441395,4336414
2018-08-08,35.583599,35.989300,35.569401,35.733101,34.586098,2209741
2018-08-09,35.733101,35.832699,35.341702,35.697498,34.551640,1693617
2018-08-10,35.726002,36.081799,35.540901,35.854099,34.703213,2375695
2018-08-13,35.889702,35.975101,35.718899,35.790001,34.641174,1722883
2018-08-14,36.060501,36.395000,35.967899,36.003502,34.847820,3390682
2018-08-15,37.505199,37.505199,36.679600,37.149300,35.956841,5667912
2018-08-16,37.291698,37.362801,36.793499,37.362801,36.163486,3940996
2018-08-17,37.348598,37.555000,37.227600,37.384201,36.184200,3025681
2018-08-20,36.935799,37.127998,36.736500,36.886002,36.886002,7446416
2018-08-21,36.786400,36.864700,36.110298,36.281101,36.281101,2820316
2018-08-22,36.153000,36.245499,35.896801,36.003502,36.003502,3250739
2018-08-23,36.010700,36.216999,35.839901,36.088902,36.088902,2298157
2018-08-24,36.387798,37.056801,36.153000,36.644001,36.644001,2914589
2018-08-27,36.580002,36.857498,36.387798,36.829102,36.829102,1573310
2018-08-28,36.871799,36.957199,36.487499,36.608501,36.608501,3630549
2018-08-29,36.295300,37.007000,36.295300,36.857498,36.857498,2980884
2018-08-30,36.971401,37.092400,36.658298,36.764999,36.764999,3935007
2018-08-31,36.722301,36.736500,36.338001,36.615601,36.615601,5224859
2018-09-03,36.757900,36.950100,36.565800,36.594200,36.594200,1764662
2018-09-04,36.409199,36.701000,36.224201,36.636902,36.636902,2257190
2018-09-05,36.636902,36.651100,35.996399,36.195702,36.195702,2912199
2018-09-06,35.982201,36.352200,35.975101,36.266800,36.266800,3365087
2018-09-07,35.960800,36.679600,35.960800,36.572899,36.572899,4438471
2018-09-10,36.565800,36.942902,36.530201,36.622700,36.622700,1764735
2018-09-11,36.693901,36.693901,36.387798,36.537300,36.537300,1939430
2018-09-12,36.309601,36.821899,36.167198,36.729401,36.729401,1777863
2018-09-13,36.508801,36.750801,36.067600,36.103199,36.103199,2548269
2018-09-14,36.046200,36.437599,35.804298,35.882500,35.882500,3262070
2018-09-17,35.825600,36.430500,35.768700,36.252602,36.252602,1444280
2018-09-18,35.854099,36.103199,35.740200,35.953701,35.953701,2558680
2018-09-19,35.953701,36.216999,35.875401,36.088902,36.088902,2172827
2018-09-20,35.832699,35.910999,35.377300,35.405701,35.405701,5377727
2018-09-21,35.441299,35.797100,35.281200,35.469799,35.469799,4331129
2018-09-24,35.299000,35.619202,35.192200,35.455502,35.455502,1686842
2018-09-25,35.227798,35.469799,35.064098,35.170898,35.170898,2466794
2018-09-26,34.928902,35.405701,34.928902,35.405701,35.405701,3551824
2018-09-27,35.441299,35.605000,35.220699,35.370098,35.370098,4140031
2018-09-28,35.548100,35.782902,35.476898,35.476898,35.476898,5605941
2018-10-01,35.049900,35.299000,35.014301,35.149502,35.149502,1256747
2018-10-02,35.149502,35.334599,34.658501,34.743900,34.743900,2902381
2018-10-03,34.686901,35.163799,34.686901,35.085499,35.085499,2109015
2018-10-04,35.355900,35.455502,35.049900,35.178001,35.178001,2216957
2018-10-05,35.370098,35.533798,35.092602,35.277599,35.277599,1150628
2018-10-07,34.978699,35.291901,34.708302,35.099701,35.099701,1891938
2018-10-08,34.872002,35.085499,34.537498,34.722500,34.722500,2914307
2018-10-09,34.644199,34.921799,34.530399,34.836399,34.836399,2227341
2018-10-10,34.231499,34.441399,33.733299,33.768902,33.768902,4003060
2018-10-11,33.697701,33.925400,33.462898,33.683498,33.683498,4918291
2018-10-14,33.391701,33.761799,33.384602,33.576698,33.576698,2700539
2018-10-15,33.591000,34.146099,33.576698,33.740398,33.740398,3097021
2018-10-16,33.875599,34.057098,33.598099,33.818699,33.818699,2287571
2018-10-17,34.103401,34.103401,33.505600,33.662102,33.662102,3466001
2018-10-18,33.448601,33.761799,33.448601,33.662102,33.662102,3059403
2018-10-21,33.526901,34.103401,33.519798,33.989498,33.989498,2187721
2018-10-22,33.946800,34.074902,33.534000,33.534000,33.534000,1936248
2018-10-23,33.598099,33.939701,33.548302,33.598099,33.598099,3246192
2018-10-24,33.178200,33.295601,32.466499,32.466499,32.466499,4463041
2018-10-25,32.494999,32.708500,32.231701,32.452301,32.452301,8232909
2018-10-28,32.523399,32.961102,32.523399,32.701401,32.701401,2427214
2018-10-29,32.950500,33.114101,32.665798,33.114101,33.114101,2489815
2018-10-30,32.829498,33.178200,32.779701,33.178200,33.178200,4060307
2018-10-31,33.199501,33.242199,32.381100,32.558998,32.558998,4206906
2018-11-01,32.181900,32.438000,32.046600,32.438000,32.438000,3057257
2018-11-04,32.188999,32.875702,32.181900,32.708500,32.708500,2540039
2018-11-05,32.765400,33.292099,32.765400,33.185299,33.185299,2724256
2018-11-06,33.171101,33.320499,32.879299,33.228001,33.228001,2714870
2018-11-07,33.391701,33.768902,33.320499,33.768902,33.768902,2413372
2018-11-08,33.697701,33.939701,33.562500,33.747501,33.747501,2443311
